ID;LAT;LNG;NOMBRE;DIRECCION;TELEFONO;EMAIL;WEB;MECANICA_S;HORARIO_DE;CALLE;ALTURA;DIRECCION_;BARRIO;COMUNA
93;-34.582606539570847;-58.440056404356355;HOLLYWOOD BIKES;GORRITI 5887;4777-4451;INFO@HOLLYWOODBIKES.COM.AR;HTTP://WWW.HOLLYWOODBIKES.COM.AR/;FALSE;LUN A VIER DE 11.30 A 19.30/SAB DE 11 A 16;GORRITI;5887;GORRITI 5887;PALERMO;COMUNA 14
94;-34.617939815005919;-58.383994455676657;FUNBIKERS;AV. INDEPENDENCIA 1276;15 3328-9289;FUNBIKERS.ARG@GMAIL.COM;HTTPS://WWW.FACEBOOK.COM/FUNBIKERS.ARG;FALSE;LUN-VIE: 9:00 - 19:30 // SAB: 9:00 - 17:00;AV INDEPENDENCIA;1276;INDEPENDENCIA AV. 1276;CONSTITUCION;COMUNA 1
95;-34.565470410133869;-58.500357651509631;VENTON;AV CRISOLOGO LARRALDE 5704;4568-0123;INFO@VENTON.COM.AR/DARIO@VENTON.COM.AR;HTTP://WWW.VENTON.COM.AR/;FALSE;;AV CRISOLOGO LARRALDE;5704;LARRALDE, CRISOLOGO AV. 5704;VILLA URQUIZA;COMUNA 12
96;-34.598095445517828;-58.41314701290792;SCHISANO BIKES;AV. CORDOBA 3300;4861-3334;SCHISANO@SCHISANO.COM.AR;HTTPS://WWW.FACEBOOK.COM/SCHISANOBIKES;FALSE;;CORDOBA;3300;CORDOBA AV. 3300;ALMAGRO;COMUNA 5
98;-34.579674377496694;-58.475990341045353;CARBONOBIKES;AV. TRIUNVIRATO 3905;4521-0292;INFO@CARBONOBIKES.COM.AR;WWW.CARBONOBIKES.COM.AR;TRUE;LUNES DE 16 A 20/MARTES A VIERNES DE 10 A 13 Y DE 16 A 20;TRIUNVIRATO;3905;TRIUNVIRATO AV. 3905;VILLA ORTUZAR;COMUNA 15
99;-34.595890621464918;-58.452407147488202;SERVICE TOP;AV. DORREGO 311;4856-0799;SERVICETOP@HOTMAIL.COM;WWW.BICISPERSONALIZADAS.COM;FALSE;LUNES A VIERNES DE 10 A 19/SABADOS DE 9 A 13;DORREGO;311;DORREGO AV. 311;VILLA CRESPO;COMUNA 15
100;-34.551100503896834;-58.466750728155766;TIENDA BIKE;AV CABILDO 3490;3529-6723;INFO@TIENDABIKE.COM.AR;WWW.TIENDABIKE.COM.AR;TRUE;LUNES A VIERNES DE 10 A 13 Y DE 15 A 20/SABADOS DE 10 A 20;CABILDO;3490;CABILDO AV. 3490;NUÑEZ;COMUNA 13
101;-34.616304024633301;-58.474103118035856;BICICLETERIA WORKS (JUAN B JUSTO);JUAN B. JUSTO 5502;4584-9533;WKBICICLETAS@HOTMAIL.COM;WWW.BICICLETERIAWORKS.COM.AR;FALSE;LUNES A SABADO DE 9.30 A 19.30;JUAN B JUSTO;5502;JUSTO, JUAN B. AV. 5502;VILLA SANTA RITA;COMUNA 11
102;-34.615712609240383;-58.470928567732692;BICICLETERIA WORKS (ARTIGAS);JOSE G. ARTIGAS 1302;4582-8510;WKBICICLETAS@HOTMAIL.COM;WWW.BICICLETERIAWORKS.COM.AR;FALSE;LUNES A SABADO DE 9.30 A 19.30;ARTIGAS;1302;ARTIGAS, JOSE GERVASIO, GRAL. 1302;VILLA GRAL. MITRE;COMUNA 11
103;-34.602284356920165;-58.490535490503547;BICICLETERIA WORKS (NOGOYA);NOGOYA 2998;4504-1771;WKBICICLETAS@HOTMAIL.COM;WWW.BICICLETERIAWORKS.COM.AR;FALSE;LUNES A SABADO DE 9.30 A 19.30;NOGOYA;2998;NOGOYA 2998;VILLA DEL PARQUE;COMUNA 11
104;-34.554959767944347;-58.454558769211424;CR BIKES;MONROE 1817;3974-7126;CRBIKES1@HOTMAIL.COM.AR;HTTPS://WWW.FACEBOOK.COM/CRBIKES?FREF=TS;FALSE;LUNES A VIERNES DE 10 A 20/SABADOS DE 10 A 15;MONROE;1817;MONROE 1817;BELGRANO;COMUNA 13
105;-34.571387465529746;-58.492866511267025;VENTON;AV. CONGRESO 5336;4568-0123;INFO@VENTON.COM.AR;HTTPS://WWW.FACEBOOK.COM/PAGES/VENTON-SRL/496803220343228?FREF=TS;FALSE;;CONGRESO;5336;CONGRESO AV. 5336;VILLA URQUIZA;COMUNA 12
106;-34.562876688231206;-58.474710304085541;MCGIVER;MANUEL UGARTE 3663;4547-0327;;;FALSE;;MANUEL UGARTE;3663;UGARTE, MANUEL 3663;COGHLAN;COMUNA 12
107;-34.6045094278806;-58.437608880680997;BABE BIKES;WARNES 10;4854-9862;INFO@BABEBIKES.COM.AR;;FALSE;;WARNES;10;WARNES AV. 10;VILLA CRESPO;COMUNA 15
108;-34.574986215674734;-58.458155166685223;BICICLETERIA DE FELICE;SUPERI 1300;4553-2700;BICICLETERIADEFELICE@HOTMAIL.COM;;FALSE;;SUPERI;1300;SUPERI 1300;COLEGIALES;COMUNA 13
109;-34.586235901623716;-58.415956647926336;BLACK BIKE;ARAOZ 2446;4832-2676;BLACKBIKEARAOZ@GMAIL.COM;;FALSE;;ARAOZ;2446;ARAOZ 2446;PALERMO;COMUNA 14
110;-34.597013166889667;-58.384557455164753;CICLO;MARCELO T. DE ALVEAR 1228;;INFO@CRAFTYBIKES.COM.AR;;FALSE;;MARCELO T. DE ALVEAR;1228;ALVEAR, MARCELO T. DE 1228;RETIRO;COMUNA 1
111;-34.556936320272975;-58.457411953155109;GREEN LINE;MONROE 2146;4780-5318;GREENLINEBIKE@HOTMAIL.COM;;FALSE;;MONROE;2146;MONROE 2146;BELGRANO;COMUNA 13
112;-34.595819843251775;-58.385187384582288;HUELLA VERDE BICICLETAS;SANTA FE 1270 - LOCAL 17;15 5722-9129;HUELLAVERDEBICICLETAS@GMAIL.COM;;FALSE;;SANTA FE;1270;SANTA FE AV. 1270;RETIRO;COMUNA 1
113;-34.595492158553576;-58.41469184059477;CYKLOS;GORRITI 3579;2002-6566;CYKLOS@OUTLOOK.COM;HTTPS://WWW.FACEBOOK.COM/CYKLOSBICIPARTES;FALSE;;GORRITI;3579;GORRITI 3579;RECOLETA;COMUNA 2
114;-34.579934795137305;-58.453287011874245;OCHOA BIKES;AV. ALVAREZ THOMAS 786;4551-7586 - 15 2264-0532;INFO@OCHOABIKES.COM.AR;HTTP://WWW.OCHOABIKES.COM.AR/;TRUE;LUNES A VIERNES DE 9 A 20 Y SABADOS DE 9.30 A 17.30;ALVAREZ THOMAS;786;ALVAREZ THOMAS AV. 786;CHACARITA;COMUNA 15
115;-34.566551369951178;-58.502561390141238;GOLDEN BIKE;CERETTI 3596;4571-7101;INFO@GOLDENBIKE.COM.AR;WWW.GOLDENBIKE.COM.AR;TRUE;LUN A VIERNES DE 10 A 19 Y SABADOS DE 10 A 17;CERETTI;3596;CERETTI 3596;VILLA URQUIZA;COMUNA 12
116;-34.66015584055004;-58.513942156604735;HAM BIKE;JUAN B. ALBERDI 7198 Y MONTIEL;4686-6508;HERNANMARE@GMAIL.COM;HTTPS://WWW.FACEBOOK.COM/PROFILE.PHP?ID=100001678634224;FALSE;LUN - VIE: 9:30 - 18:30/SAB: 9:30 - 18:00;JUAN ALBERDI;7198;ALBERDI, JUAN BAUTISTA AV. 7198;MATADEROS;COMUNA 9
117;-34.594016573845749;-58.392424855701393;BETRECE B13;JUNCAL 1760;4811-1135;B13BICIS@GMAIL.COM;HTTP://B13BICIS.COM/;FALSE;LUN A VIER DE 10 A 20/SAB DE 10 A 14;JUNCAL;1760;JUNCAL 1760;RECOLETA;COMUNA 2
118;-34.58547499220991;-58.439598908303168;BELGRAVIA TAILOR MADE BICYLES;BONPLAND 1459;(15) 4429 1001;HOLA@BELGRAVIA.COM.AR;WWW.FACEBOOK.COM/BELGRAVIABIKES;FALSE;;BONPLAND;1459;BONPLAND 1459;PALERMO;COMUNA 14
119;-34.606483287054331;-58.451406441674266;PEDAL BA;AV. SAN MARTIN 1544;2063-8558;BICICLETERIAPEDAL@GMAIL.COM;HTTPS://WWW.FACEBOOK.COM/BICICLETERIAPEDAL;FALSE;LUN A VIER DE 10 A 13 Y DE 15 A 20/SAB DE 11 A 14;SAN MARTIN AV;1544;SAN MARTIN AV. 1544;CABALLITO;COMUNA 6
120;-34.595271412766046;-58.416827884739959;BICICITY;BULNES 1422;4862-2574;INFO@BICICITY.COM.AR;WWW.FACEBOOK.COM/BICICITY-1615714655383646/?FREF=TS);TRUE;LUNES A SABADOS DE 9:30 A 13:00 Y 15:00 A 19:30;BULNES;1422;BULNES 1422;PALERMO;COMUNA 14
